Frame,Person,FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight
1,0,906,87,136,136
1,1,897,511,95,95
1,1,270,114,136,137
1,2,305,484,114,114
3,0,906,87,136,136
3,1,897,511,95,95
3,1,270,114,136,137
3,2,305,484,114,114
5,0,906,87,136,136
5,1,897,511,95,95
5,3,270,114,136,137
5,2,305,484,114,114
7,0,906,87,136,136
7,3,270,114,136,137
7,1,893,507,113,114
7,2,294,484,113,114
9,0,906,87,136,136
9,11,270,114,136,137
9,1,916,511,95,95
9,2,305,495,114,114
11,0,906,87,136,136
11,3,270,100,136,137
11,2,305,495,114,114
11,1,916,511,95,95
13,0,906,87,136,136
13,11,270,100,136,137
13,2,294,484,113,114
13,1,926,511,95,95
15,0,906,87,136,136
15,1,270,114,136,137
15,2,294,484,113,114
15,1,926,511,95,95
17,0,906,87,136,136
17,1,294,127,113,113
17,2,294,484,113,114
17,1,916,520,95,95
19,0,906,87,136,136
19,1,294,127,113,113
19,2,294,484,113,114
19,1,926,511,95,95
21,0,906,87,136,136
21,2,294,484,113,114
21,1,284,114,136,137
21,1,926,511,95,95
23,0,906,87,136,136
23,2,294,484,113,114
23,1,294,127,113,113
23,1,926,511,95,95
25,0,906,87,136,136
25,1,284,100,136,137
25,2,294,484,113,114
25,1,904,507,114,114
27,0,906,87,136,136
27,1,907,511,95,95
27,1,284,100,136,137
27,2,294,484,113,114
29,0,906,87,136,136
29,1,284,114,136,137
29,1,916,516,79,79
29,2,294,484,113,114
31,0,906,87,136,136
31,1,897,511,95,95
31,1,284,114,136,137
31,2,294,484,113,114
33,0,906,87,136,136
33,1,897,511,95,95
33,1,284,114,136,137
33,2,294,484,113,114
35,0,906,87,136,136
35,1,893,507,113,114
35,1,305,127,114,113
35,2,294,484,113,114
37,0,906,87,136,136
37,1,893,507,113,114
37,2,294,484,113,114
37,1,305,127,114,113
39,0,906,87,136,136
39,1,893,507,113,114
39,1,305,127,114,113
39,2,294,484,113,114
41,0,906,87,136,136
41,1,897,501,95,95
41,1,305,127,114,113
41,2,294,484,113,114
43,0,906,87,136,136
43,1,897,501,95,95
43,1,305,127,114,113
43,2,294,484,113,114
45,0,906,87,136,136
45,1,897,501,95,95
45,1,284,114,136,137
45,2,294,484,113,114
47,0,906,87,136,136
47,1,897,501,95,95
