Frame,FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight,Pitch,Roll,Yaw,Person,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral
0,385.0,427.0,130.0,156.0,7.805464051550735,-2.750314370299078,-1.8775865263508535,0,400.74913787841797,402.10991606712344,404.79326190948484,408.54692673683167,414.54961824417114,423.8629689216614,436.03632988929746,450.50922417640686,466.0670488357544,480.71168689727784,492.93542060852053,502.6649308204651,509.24258794784544,512.7827279090882,514.1087322235107,514.096224117279,512.9548622131348,408.61761260032654,415.3718839645386,425.8949782848358,437.1242338657379,447.32373533248904,465.77369413375857,475.3916579246521,485.5750863075256,495.27358846664424,501.9222550392151,458.28465242385863,459.2630518913269,460.17637796401976,461.15139656066896,449.6874996185303,455.3154109954834,461.13082122802734,466.6585673332214,471.5110430717468,423.0473310470581,429.16402373313906,436.7347586631775,443.8324562072754,437.02953600883484,429.6731795310974,471.4081217765808,477.81177005767825,485.4575034141541,491.86236791610713,486.020011138916,478.54429206848147,440.9274736404419,447.7388069629669,455.5277029037476,460.8970167160034,466.60820016860964,474.0105108261108,480.1584179878235,474.50720872879026,467.9286924362183,461.95455980300903,456.167290019989,448.6338450908661,444.40391821861266,455.4683423995972,460.90297508239746,466.5715684890747,477.0960185050964,467.4792263031006,461.93168592453003,456.53087310791017,502.880597114563,518.8817119598389,534.6461546897888,550.09737033844,563.8193207740784,574.9156735420227,582.5111066818238,586.9523324012756,587.4868224143981,584.746364402771,577.796465587616,568.061789226532,555.622181892395,541.1539739608764,525.7353507995606,510.21445350646974,495.3352298736572,477.8902767658234,469.2993724346161,465.81755528450014,466.15861597061155,469.708619594574,468.7107605934143,465.05343942642213,464.6068353176117,467.5982476711273,475.0225395679474,486.4192654132843,496.6452950000763,506.42000064849856,516.4356463432312,527.9273043632508,529.2640649795533,530.2896739006043,528.720157623291,526.8899795532227,493.227223443985,488.22990026473997,487.80868616104124,492.5753625392914,494.8597935199738,495.4124710559845,491.12474579811095,485.6943698883057,485.730677986145,490.3066475868225,492.96911125183107,493.06501417160035,550.9756380081177,543.705270576477,539.8541239738464,540.9997370719909,539.4852296829224,542.9298014640808,549.2739553451538,553.7290281295776,556.0021560668945,556.5807089805603,556.4177911758422,554.6877895355225,550.4914816856384,546.6667572021485,546.7787834167481,546.1344318389893,548.8118360519409,548.2881581306458,548.7946862220764,548.572207069397,0.53798664,0.48258373,0.30247754,0.4128022,0.12033709,1.0,0.23235895,0.09327079,0.46226743,0.062280193,0.15377319,0.50508904,0.4637719,0.0,0.4640534,0.45335802,0.18176812,0.19514707,0.0660584,0.08868846,0.01929179,0.024476446,0.05107205,0.22916853,0.08429124,0.4721715,0.119528405
0,695.0,2.0,140.0,167.0,-18.06250425952716,-5.902708152467856,4.566207142311703,1,711.8557972609997,713.9801150262356,717.6092260599137,722.2307892799378,728.6339031219483,737.9172117710114,749.9448315143585,763.6728431344033,779.137588596344,794.0816316366196,807.270999789238,818.1722993135452,825.823641705513,829.2289525270462,829.3724092245102,828.4857011079788,826.7151874542236,723.3931946516037,729.9265901088714,739.0696014523506,748.7216272592544,758.2073340773583,781.3953772306443,789.9406662702561,798.7874532699585,807.8866452217102,814.907638168335,771.1647049188614,771.6648563623428,771.9418317079544,772.4368588447571,762.2403007984161,767.6946773290634,773.7216025590897,779.3265309810638,784.0885766506195,737.0419527173042,742.4557886958122,749.5351497650147,756.1328857302666,750.1850289106369,743.316409432888,785.1271744728089,790.4435530662537,797.4116545677185,803.7007197380066,798.6824229001999,791.8652435779571,757.3621997356415,763.7110962629318,769.8190906524658,774.4153190135955,779.2469310283661,786.6117780923844,794.3557641267777,787.8888413190841,781.307499551773,775.9108162641526,770.7946678638458,764.1945608615875,760.4139811754227,769.9355282783508,774.6078926086426,779.7457207679748,791.4340970754623,780.5068654537201,775.347500872612,770.6878935575485,82.46583169698715,98.15788614749908,113.45035815238953,128.61402969360353,142.9509080886841,155.94146747589113,166.145502948761,173.60335199832917,174.43580696582794,170.417502450943,161.07991676330568,148.7752141714096,134.41599905490875,118.06978325843811,101.45341258049011,85.2130752325058,69.32794550657273,75.9165317773819,70.10125594139099,67.75099089145661,67.80922762155534,69.32710937261582,65.76129069328309,61.26742901802063,59.04765461683274,59.49052491188049,64.12534682750702,81.06741557121278,92.01427245140076,102.69891772270203,113.63059279918672,120.31623630523681,122.27982523441315,123.59778735637666,121.10933325290681,118.19627838134765,86.88791127204895,83.4612073659897,82.38269011974334,84.7035829782486,88.01633377075196,89.07184538841248,80.80172206163407,76.57121869325638,75.81268991231919,78.15262273550034,81.71438616514206,82.45953680276871,139.3460359811783,137.0460703611374,135.26701619625092,136.25604321956635,134.45417454242707,134.76447579860687,135.76739459037782,141.56091899871828,144.71199731826783,145.72848536968232,145.8287139415741,144.06568965911865,139.60194075107574,139.33124835491182,139.4861003637314,138.41777200698854,136.6290903568268,138.68230090141296,139.78722803592683,139.65830812454223,0.30045223,0.46864003,0.29334116,0.4200525,0.14916101,0.0,0.27431694,0.112004474,0.466885,0.08733011,0.35507414,0.16074248,0.5381876,0.0,0.47507137,0.55764735,0.021825727,0.18496913,0.54513216,0.12310372,0.0067324922,0.0034521017,0.16575037,0.014303118,0.6085909,0.090018466,0.111152604
0,105.0,123.0,113.0,133.0,6.907639587106801,2.1963215828314957,-5.51126888104805,2,125.80658707618713,122.82194283008576,121.19900857210159,121.29986910820007,124.00384947061539,128.8867693901062,135.6288622021675,145.21523640155792,157.88358134031296,171.01893362998962,181.98544430732727,190.70456058979033,197.9349458694458,203.9361120939255,208.45384600162504,211.52956676483154,213.69418940544128,131.66106436252593,138.27934676408768,146.9575052499771,155.87240179777143,163.53697967529297,182.15615332126617,189.60350885391233,197.53260722160337,204.61961405277253,208.11644241809844,171.27749428749084,170.54584753513336,169.8532512426376,169.19517726898192,156.57774062156676,161.38520420789717,166.74394993782045,172.41787235736848,177.4081976890564,138.2316015124321,144.49693624973298,151.29965002536773,157.21049125194548,150.31288628578187,143.65640958547593,182.25869288444517,189.1457765817642,195.58459334373475,199.98856246471405,194.64061863422393,188.2146252632141,145.3362167239189,153.5514726758003,161.39106891155242,165.75956442356107,170.55077521800996,176.93844110965728,181.50592749118806,174.41027343273163,166.90276782512666,161.53247343301774,156.53653073310852,150.65310093164442,148.19791623353956,160.2445978283882,164.94898912906646,169.775426197052,179.88229403495788,167.8726651906967,162.97476720809937,158.30606355667112,175.38136208057404,188.6915805220604,202.2401732444763,215.88671555519102,229.0212069272995,241.23027374744416,252.25747673511503,261.0022683382034,265.1475245952606,264.6922466516495,258.71830635070796,249.44092545509338,238.30007183551788,226.39181246757505,213.74530439376832,200.79204330444335,188.2849325299263,156.50978262424468,151.79361910820006,150.7917916893959,152.55613998174667,156.71166541576386,158.80169739723206,157.12694160938264,158.17366516590118,161.318097615242,167.82208726406097,172.07525787353515,181.916967856884,191.64904165267944,201.66649773120878,209.10506334304807,212.01869378089904,214.0164981842041,213.15328800678253,211.33529646396636,171.13747130632402,168.62254558801652,169.30846858024597,173.60239245891572,175.77065854072572,175.1084416985512,176.67284307479858,173.8324714899063,175.0810207605362,179.54712815284728,181.45668137073517,180.31151831150055,227.9321794986725,225.09761078357695,224.25573804378507,226.0233968257904,225.47940156459808,228.1522414445877,232.20172181129453,237.00381536483764,238.73262345790863,238.37197034358977,236.90827729701994,233.32178983688354,228.59483869075774,228.2282970905304,229.45430078506467,229.35661280155182,232.0856929540634,233.68361303806304,233.30089950561523,231.8721568584442,0.5738664,0.54664254,0.501148,0.42390716,0.14051704,1.0,0.29001662,0.05634011,0.4658999,0.12964581,0.40254483,0.12509753,0.54830945,1.0,0.62515515,0.39495334,0.53783953,0.31855795,0.33294922,0.04186946,0.011711091,0.006216647,0.12667513,0.04109582,0.4491127,0.24145164,0.12373695
1,384.0,429.0,129.0,158.0,6.3931279297767905,-3.5915844429124153,-1.5337441202667739,0,398.35623421669004,400.49891434907914,403.9606688976288,408.69648299217226,415.65092303752897,425.7384805440903,438.2136597633362,452.5074419975281,467.72071080207826,481.8675682067871,493.354736995697,502.44063806533813,508.7310572147369,511.97986907958983,512.9740329265594,512.4810250282287,510.7978028297424,406.6688333272934,413.1775433778763,423.6722830295563,435.1243903398514,445.5439780712128,464.8460198879242,474.30157799720763,484.46167688369746,494.10852770805354,500.61179065704346,457.69419021606444,459.2096032619476,460.62869753837583,462.15868892669675,450.1879599094391,456.14140462875366,462.3240231513977,467.9534896373749,472.8524116516113,420.9464155197144,427.18596868515016,434.84678027629855,442.49267449378965,435.63111770153046,428.14224579334257,471.0450362205505,477.53982338905337,485.18779134750366,491.8784368515014,486.0399915218353,478.50418639183044,441.9094277858734,449.0262468338013,456.892946434021,462.4051420211792,468.0780045032501,475.7755614280701,482.1733404636383,476.6194892406464,469.9659563541412,463.91980919837954,457.8581118106842,449.97470927238464,445.2521852016449,456.96277556419375,462.56402335166933,468.30115485191345,479.2801271438599,469.22331976890564,463.6162293434143,458.01508326530455,506.70243644714355,522.5163442611695,537.9752185821533,553.2484507083893,566.7207489967346,577.7125253677368,585.402725315094,590.0163186550141,590.2948554039001,586.893615102768,578.9342469692231,568.4366425037384,555.7703344345093,541.2173176288604,525.7583076953888,510.17987966537476,495.31132650375366,482.6249364852905,473.80580778121947,469.8323110342026,469.5774104118347,472.5099739551544,470.5791120529175,466.7799621105194,466.3242193937302,469.6059229373932,477.2575524330139,489.28746500015257,499.61480233669283,509.47563271522523,519.6470552444458,531.6505233764649,532.8987346172332,533.7977550029755,532.1420734405517,530.2375316619873,497.4291980266571,492.4018001317978,491.6490773677826,495.95922646522524,498.3933237075806,499.2540448665619,494.0398012161255,488.7412009477615,488.59841229915617,492.98467390537263,495.65529627799987,495.89979429244994,553.6459196090698,547.0960624694824,543.3482305526734,544.5032647132873,542.8508943557739,545.9839496612549,551.6329556465149,556.7300075054169,559.6081565380097,560.3531324386597,560.2297363758087,558.0192754268646,553.2457384586335,550.5236002922059,550.6869116306304,549.9020204544067,551.3836998939514,551.1938424110413,551.8528512954712,551.6086810111999,0.6189742,0.4982991,0.37302914,0.4465559,0.12942657,1.0,0.26642132,0.06272941,0.46422634,0.06171181,0.13060732,0.42110154,0.44936427,0.0,0.31328294,0.43867892,0.20488463,0.12928014,0.124193996,0.14015107,0.019364854,0.024517685,0.05122595,0.22906688,0.08446735,0.47154891,0.119808376
1,695.0,2.0,140.0,167.0,-18.07647765837095,-5.932384739673361,4.584347135164842,1,712.0396004080773,714.0793671131134,717.6110177755356,722.1449422121048,728.5624733924866,737.8472751379013,749.860077393055,763.5364517688752,778.9700751304626,793.941985321045,807.1759313583374,818.1812578916549,825.9495157003403,829.4277732372284,829.5597510099411,828.6977088451385,826.996009016037,723.2051720142365,729.7388840079308,738.8500625371933,748.4463779330254,757.8904213905334,781.0883966207505,789.693863415718,798.6380122423172,807.8479680538178,814.9498868227005,771.0040238618851,771.5849816799164,771.9470993518829,772.5055771112442,762.2737939357758,767.7198210716248,773.7268940925599,779.3579935073852,784.1514419794082,736.9331298828125,742.2806425213814,749.3829733848572,755.9773946762085,750.0520955562591,743.15944917202,784.8968912363052,790.1463552236557,797.1533369541169,803.4816765308381,798.4263509035111,791.5841114521027,757.4916691064834,763.7646924495697,769.8339021682739,774.4076146364212,779.2402777910232,786.6428822755813,794.4459352016449,787.8308255672455,781.17625041008,775.7891826629639,770.7042698383332,764.1953671336174,760.5405957460404,769.9199045181274,774.5827369213105,779.700617313385,791.4967832326889,780.4055379629135,775.2707079410553,770.6519995212554,82.86989343166351,98.47019412517548,113.64582238197328,128.72423214912416,142.95596072673797,155.83824076652527,165.93621861934662,173.31784808635712,174.19639792442322,170.31660497188568,161.2572488307953,149.23636593818665,135.0950951099396,118.89969398975373,102.26897764205933,85.96854615211487,70.01719461679458,75.83942828178407,70.05442049503327,67.75458626747131,67.80337468385697,69.30770509243011,65.58047075271607,61.108348560333255,58.929628336429595,59.38404325246811,64.05822916030884,80.76880824565887,91.69125001430511,102.3445522069931,113.26370916366578,119.95106077194214,121.91147239208222,123.26508965492249,120.85197122097016,118.00366895198822,86.81627848148347,83.25885697603226,82.14620754718781,84.52132369279862,87.92711827754975,89.0272675037384,80.7124468445778,76.43474371433258,75.72039864063264,78.13625242710114,81.74377627372742,82.46768910884857,139.09321296215057,136.80189535617828,135.07758407592775,136.1187858581543,134.3647201538086,134.7996292591095,135.9330327272415,141.48060235977172,144.41396334171296,145.33839304447176,145.40202283859253,143.6682512998581,139.35233087539675,139.17915558815002,139.38955078125,138.379035115242,136.74536075592042,138.3515979766846,139.37874076366424,139.21097645759582,0.28261575,0.45943093,0.53988564,0.4126548,0.13067357,0.0,0.30420572,0.8061785,0.4629029,0.10434757,0.32547942,0.24989645,0.45546755,0.0,0.5662855,0.529963,0.00093415804,0.30399457,0.45997858,0.14274764,0.006931311,0.0036261198,0.18088244,0.01856663,0.5544531,0.10714605,0.12839445
1,105.0,123.0,113.0,133.0,6.914773056550426,2.206340460767631,-5.51168377599812,2,125.25853931903839,122.47300009727478,121.01525737047194,121.23446791172027,123.92289943695067,128.78623229265213,135.59372630119324,145.22049227952957,157.787910091877,170.91025824546813,182.0184065103531,190.86490054130553,198.08279538154602,203.92408778667448,208.26223714351653,211.22931106090545,213.29501855373383,131.91685676574707,138.45205348730087,147.0505604505539,155.8386309981346,163.3610671043396,181.8487914800644,189.22129950523376,197.1081796169281,204.2585233449936,207.86241941452028,170.99750106334687,170.32952415943146,169.70779898166654,169.14299900531768,156.65377724170685,161.36898471117019,166.60611751079557,172.15548751354217,177.04413895606996,138.20935559272766,144.40343869924544,151.20490152835845,156.96825473308564,150.09123568534852,143.44332535266875,181.99173233509063,188.86082713603975,195.3058938741684,199.572563290596,194.3695104598999,187.9438690662384,145.6472267627716,153.85291273593901,161.6060366988182,165.90653874874113,170.64000623226167,176.966770529747,181.477588558197,174.38267650604246,166.8464419364929,161.5476084589958,156.65545151233673,150.91444886922835,148.5511825799942,160.39705634117126,165.0376398563385,169.8162936210632,179.86769173145294,167.81700520515443,162.97307391166686,158.3940436244011,174.98940200805663,188.13252633810043,201.50517795085906,215.05319514274595,228.18780066967008,240.3786883354187,251.32726719379426,260.0302495956421,264.1276654720306,263.6374942064285,257.63974311351774,248.4396260023117,237.40025601387023,225.58726835250854,213.06096529960632,200.2027000427246,187.76807281970977,156.21384102106094,151.55330419540405,150.66272064447404,152.65024160146714,157.0311133980751,159.4234986782074,157.4132609128952,158.13661241531372,161.07451026439668,167.51735098361968,172.51569093465804,182.25837161540983,191.91675372123717,201.87361261844634,208.99844274520873,211.88440015316007,213.8581844806671,212.92621505260468,211.0989674568176,171.09561929702758,168.40013871192932,169.2055485010147,173.8884073495865,175.9078773856163,175.15439852476118,176.9783974647522,173.79412498474122,174.96407866477966,179.64258060455322,181.620055937767,180.54064605236053,227.57837567329406,224.64020195007322,223.7371327161789,225.47412190437316,224.90188283920287,227.6161418914795,231.6783790588379,236.65391182899475,238.32433924674987,237.96045174598692,236.50499687194824,232.99505972862244,228.2748342037201,227.75010256767274,228.94060411453245,228.83618099689483,231.5939330339432,233.21913611888885,232.82329478263853,231.42862734794616,0.5508232,0.42047605,0.44927078,0.36380744,0.143403,0.0,0.2792571,0.6155226,0.46445915,0.15045784,0.379369,0.15812422,0.49462298,1.0,0.4018394,0.39495334,0.7167151,0.48410952,0.192376,0.06398859,0.013395644,0.0068347724,0.11485011,0.057533845,0.43583688,0.22685374,0.14469494
2,384.0,430.0,131.0,161.0,5.427037192313965,-3.7834072953749813,-2.7380006997328694,0,398.35624545812607,400.7021523296833,404.312877035141,408.9547763347626,415.71803084611895,425.72065155506135,438.41898040771486,453.1639569044113,468.61291763782503,482.8567574977875,494.6494291067123,503.9201459646225,509.9911333799362,512.8064369678498,513.6746454238892,513.3767364025116,511.83641893863677,407.18653025627134,413.820936524868,424.2645708322525,435.62476191520693,446.11942768096924,465.0122950077057,474.21873168945314,484.1099791049957,493.5990896463394,500.09439301490784,458.63127262592315,460.3169862747192,461.886944937706,463.5645861387253,452.19066843986514,457.807940530777,463.56229453086854,468.707656621933,473.16432721614837,422.12076592445374,428.26226922273634,436.0991823196411,443.4335020542145,436.7196437835693,429.1312549829483,471.40044555664065,477.51789848804475,485.2454189777374,491.6259692192077,486.15836560726166,478.6378268241882,444.4096463918686,450.8983858585358,458.445237827301,463.6865710735321,468.97351768016813,476.22700929641724,482.06416058540344,476.97296795845034,470.67043602466583,465.0723028898239,459.3743523836136,451.87925159931183,447.6638043999672,458.613930106163,463.87769577503207,469.1668648958206,479.18474955558776,469.8852206230164,464.6803918838501,459.42678298950193,509.3155365228653,525.49084482193,541.2769252538681,556.6663963079452,570.3348468303681,581.2679927587509,588.4716562986374,592.2205309867859,592.0110043287277,588.5203558444977,580.8856742620468,570.5985544681549,557.8486356496811,543.0845777750015,527.5508966445923,511.9694947957993,497.1117458581924,484.25541121959685,475.39521460533143,471.3880503773689,471.21452729701997,474.19560395479203,472.7099453687668,468.9060605764389,468.3654771924019,471.34779753684995,478.6587751150131,491.0540935277939,501.28920303583146,511.0944921255112,521.2434705734253,534.1776853322983,535.1476803302764,535.8673488378524,534.1643732786179,532.2646994590759,498.8874540567398,493.2643320322037,492.49845710992815,497.4785297870636,500.1760401248932,500.97775740623473,495.42615888118746,489.4623300433159,489.2704395532608,494.1356727361679,497.13865785598756,497.4488713145256,558.6781861782074,551.3928538799286,546.9470885753632,547.9022744894028,546.0601442098617,549.3061203718186,555.2463249206543,560.3202556371689,563.209466457367,564.1465613365174,564.2574452161789,562.6062553882599,558.0982596874237,553.997387123108,553.8710377693176,552.9892639160156,555.018304181099,555.2461752176284,556.0080830097198,556.0267843723298,0.57382226,0.4405888,0.39317134,0.41245398,0.121260494,1.0,0.23792696,0.034476843,0.4627181,0.055132277,0.14424339,0.27381542,0.44589442,0.0,0.4130515,0.4532626,0.22214232,0.19556127,0.043929663,0.13070199,0.019320855,0.024508208,0.051332913,0.22946101,0.08413749,0.4714056,0.119833834
2,697.0,4.0,140.0,167.0,-17.196657326020897,-6.483365254031148,8.14557979521007,1,712.3185201883316,714.7818126320839,718.6023296594619,723.2268790721894,729.5688834667205,738.7217193841934,750.4526429653167,763.8478016018868,778.9350086927413,793.8566433429718,807.032800579071,818.1365400791168,826.1171759128571,829.9808195352555,830.5461297035217,830.2738964319229,829.23451025486,721.5633308410645,727.5511369466782,736.7453137159348,746.7148016691208,756.7088420987129,779.9849182128906,789.3649197816849,799.0279765844346,808.8582960128784,816.2466503858566,769.808522939682,770.3515919446945,770.6348502397537,771.0859922885895,761.395331120491,766.6991378426552,772.5410087108612,778.1626478672027,783.1001263856888,736.1390270113945,741.3806492567062,748.525073492527,755.1175298690796,749.2373461484909,742.2976612567902,784.5777781486511,790.0048011541367,797.3091360092163,803.8979552030563,798.5883970737457,791.4626365423203,756.5128104925155,762.5698007106781,768.5046198129654,773.0881867170334,777.9460891723633,785.6518997192383,793.523217010498,787.08149766922,780.3918646097184,774.9468050003052,769.7976173639297,763.2197097182274,759.4581102728844,768.8304253816605,773.496100640297,778.6742065668107,790.6155611753463,779.4543912172318,774.268688416481,769.5886674880982,83.08937859535217,98.73133070468903,113.82106411457062,128.68229405879976,142.60625367164613,155.26571595668793,165.2837713479996,172.67899396419526,173.63328559398653,169.91603708267212,161.06712391376496,149.46213405132295,135.78829793930055,119.99495780467987,103.61478302478791,87.55104314088821,71.61688610315323,77.12687151432037,70.02249212265015,66.67715599536896,66.16666038036347,67.60727140903474,64.6260775923729,60.343978786468504,58.40773741006851,59.322569489479065,64.65414183139801,80.10534192323685,91.01817412376404,101.6329185962677,112.58940296173095,119.65529630184174,121.40162179470063,122.62679693698884,120.2580055475235,117.60471360683441,86.37463252544403,82.35975018739701,81.24268119335174,84.03836077451706,87.39075626134873,88.52478682994843,80.99154835939407,76.49281919002533,75.7771124124527,78.46206994056702,82.07498087882996,82.80650253295899,139.17868974208832,136.70200123786927,134.78472218513488,135.73201417922974,133.9557670354843,134.5161798477173,135.91515140533448,141.41632754802706,144.34922268390656,145.27693719863893,145.31292679309846,143.60105001926422,139.3758381843567,138.86412420272828,138.98450360298156,137.921968460083,136.72718081474304,138.26188080310823,139.34289450645448,139.16099953651428,0.35830793,0.52491,0.3696448,0.37762514,0.13164315,0.0,0.17329863,0.23319124,0.4656887,0.07092684,0.17502774,0.22630191,0.47682258,0.0,0.5043692,0.55764735,0.027947804,0.3105309,0.5416687,0.1462836,0.009951089,0.004361777,0.15725203,0.026289564,0.5476626,0.12524477,0.12923814
2,115.0,123.0,101.0,122.0,4.837260090851791,6.5301665554633574,1.8925867784080301,2,126.80410778522491,123.29747501611709,121.01089562177658,120.42509809732437,122.22492142915726,126.38421998023986,132.9278195619583,142.01745662689208,153.23486206531524,165.6067768096924,177.29197645187378,187.22962222099306,195.14469299316409,201.05596737861634,205.30858960151673,208.51657309532166,211.2075427055359,134.8556027173996,141.92475905418397,150.43665280342103,158.81819140911102,165.69262437820436,182.11621189117432,189.07553691864013,196.6123914718628,203.4044716835022,206.8234091281891,171.36476817131043,169.93504576683046,168.6298014640808,167.3370616912842,155.64668745994567,159.68621783256532,164.17995584011078,169.01297411918642,173.5319262504578,139.73400990962983,145.7316161632538,152.23980078697204,157.29518678188325,150.65981459617615,144.34793713092805,181.30911560058593,187.50173754692076,193.58162674903872,197.5777970314026,192.3410342693329,186.4099515914917,143.82266833782197,151.17050204277038,158.26951479911804,161.9353010892868,166.18575487136843,171.19514985084533,174.7424048900604,168.1414005279541,161.51955819129944,156.82796850204468,152.64336638450624,147.9558168888092,146.5629536151886,157.00943253040316,161.02730031013488,165.17087657451629,172.88554763793945,162.73441298007964,158.44649360179903,154.52499709129333,169.26809906959534,181.07907700538635,193.21517271995543,205.82592573165894,218.0255214214325,229.00973439216614,237.96847529411315,245.00996546745301,248.74364533424378,248.93198118209838,245.1695487499237,238.43748679161072,229.5609982967377,219.49102964401246,208.5935281276703,197.14894251823426,185.58887543678284,154.48947243690492,150.7930487394333,150.59835155010222,153.44766533374786,158.41027522087097,161.6632767677307,159.7675184726715,160.15542068481446,162.9215919971466,168.7059187889099,172.69449734687805,180.56718535423278,188.35787401199343,196.4813594341278,202.8172031879425,205.21418981552125,207.15411972999573,206.91515493392944,206.0679883003235,169.0758844614029,166.641676568985,167.84212017059326,172.8918821811676,174.2809932231903,173.20258004665374,177.25660886764527,174.06715092658996,175.4160345554352,180.00772762298584,181.95370473861695,180.77364971637726,220.64167327880858,216.82681431770325,215.32453422546388,216.98014097213746,216.6085566043854,220.22750544548035,225.12976112365723,228.071702671051,228.74010601043702,228.2052472114563,226.99264812469482,224.42079877853394,220.90280241966246,219.3089940547943,220.40430536270142,220.5720039367676,224.4765848636627,224.0977403640747,223.62528204917908,222.46497859954835,0.626703,0.43134928,0.71873313,0.4172761,0.14709528,1.0,0.29851684,0.08586302,0.46317056,0.1714403,0.49882025,0.2715291,0.5104722,1.0,0.6379956,0.3984778,0.85137093,0.38896063,0.3865993,0.054901764,0.01595024,0.009043556,0.13866799,0.06132146,0.42703235,0.22056206,0.12742232
3,384.0,430.0,131.0,161.0,5.482776852999423,-3.762371029787523,-2.7566317254805464,0,398.36133536100385,400.61112425327303,404.1771309375763,408.82671691179274,415.60069246292113,425.59786052703856,438.2703713655472,452.9787512302399,468.44028701782224,482.72174839973445,494.54835653305054,503.8635812520981,509.9913982391357,512.8513363599777,513.7380964756012,513.4302609920502,511.8885386228561,407.3118892669678,414.0557572364807,424.54402031898496,435.9114201784134,446.37768267393113,464.99981207847594,474.2037383556366,484.0833319664001,493.5604086875916,500.07693533897395,458.6886779785156,460.37061450481417,461.94122955799105,463.6218533039093,452.2153694391251,457.8337700605392,463.5939855098724,468.7440229415894,473.21172549724577,422.1683830022812,428.2975415587425,436.1350649833679,443.45028030872345,436.7453063368797,429.1599691748619,471.41469037532806,477.525084233284,485.2531920194626,491.61546697616575,486.15304539203646,478.6399456977844,444.4580062270164,450.91989703178405,458.4303941965103,463.6485465049744,468.9288025379181,476.1814419984818,482.0815837144852,476.90412759780884,470.57846078872683,464.9943191289902,459.3332531452179,451.9007512569427,447.73241444826124,458.6085292816162,463.844104719162,469.11917872428893,479.16525361537936,469.80801992416383,464.6235162496567,459.406619143486,508.88597520589826,525.0980471134186,540.9576893091202,556.4296236991883,570.222362279892,581.3356930732728,588.7432866811753,592.6909439563751,592.568544459343,589.0564884424209,581.3396314144135,570.9806196212769,558.1575651168823,543.3270390987396,527.7149250984191,512.0390491247177,497.10390372276305,483.81158205270765,475.0763701915741,471.2006970405579,471.1293405175209,474.17741503715513,472.7996174812317,468.98505195379255,468.43427724838256,471.4021512508392,478.67424058914185,490.8936579465866,501.19368674755094,511.06865108013153,521.2855831861496,534.0839366912842,535.1204804420471,535.9051546096802,534.2059907197952,532.3012960910797,498.5444441199303,493.0343651533127,492.29121054410933,497.21026196479795,499.92214955091475,500.6983712553978,495.3135015964508,489.4499565124512,489.29510600566863,494.13278807401656,497.1346158742905,497.40739781856536,558.5882261753083,551.3896064758301,547.0273409128189,548.0109819173813,546.18956823349,549.4479006528854,555.3956594467163,560.4270629882812,563.2886478424073,564.1952608823776,564.278357577324,562.5782494068146,558.0351310729981,554.0931970596314,553.9933566570282,553.1449780941009,555.1631706476212,555.3294446468353,556.0679872512817,556.0600645065308,0.5557857,0.45651275,0.39758304,0.4373035,0.12256847,0.0,0.2293429,0.36492893,0.46340442,0.054379907,0.12134768,0.21805416,0.43395692,0.0,0.37684524,0.43983513,0.13815561,0.13621008,0.07074122,0.10510413,0.019320855,0.024508208,0.051332913,0.22946101,0.08413749,0.4714056,0.119833834
