frame,FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight,FaceScore,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,Pitch,Roll,Yaw,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,input,frame
0,561.4553017652671,263.47830325255103,239.95467557251914,336.10385108418365,0.9996242523193359,552.2170261153555,552.9862166302956,556.0043871494059,561.5813534405119,572.2885022364939,590.3163542209857,613.5969026662627,639.7327324598378,671.6677965666622,704.1672602613919,732.6604785328526,758.2851453645438,779.0784892197134,792.0642353254688,799.0745217456334,804.0341222730467,806.8444968625242,568.5256379836201,584.3036204831728,605.6185847092663,627.9724624734669,649.0450191500069,698.3617635227288,720.1270934981487,743.2964087672684,766.2068130125681,783.6399148829178,673.0774192452353,672.496624363157,671.4807652049798,670.6335107325558,647.1181513842923,658.4640194924264,670.6853770773927,683.6472995225531,695.6254081572386,592.7577024714518,607.5031300183945,625.695692205273,641.113182573192,625.3664160406244,607.4930572496869,707.7327078636054,722.7345943522485,740.8077377358933,755.8153457494825,742.188909049871,724.5876712741732,625.0735004074083,642.9683509769249,659.4425444983294,670.1912464702327,682.4180611399164,700.6163568717513,719.8080343423326,702.3761825530635,684.8639649743208,671.3079414955794,658.6155677834349,642.4913488845721,632.1825071729136,658.8066859486504,670.3381189771992,683.1896736869504,713.8502440720166,684.2741911444805,671.3177979040998,659.3600030869751,393.61255386411483,426.9648493160897,459.90405307096034,492.99896404043477,524.3519351040587,552.2755010430734,575.8886672158878,595.7646198380025,602.2917980005359,597.1410312278655,578.8967950163164,555.0487578404638,526.4711110160175,493.3307644072654,458.1145860440243,422.92688308539925,387.74586325255154,383.80786744828225,370.82212134252694,365.8872579964981,367.3618728712547,372.99557962141097,370.7273796206258,361.42729324100355,357.216238860684,359.92120997904357,372.174829271899,396.9801641153044,417.06992868225257,436.49231823227683,456.6742522389025,479.2034538746647,482.59148612350845,484.9933967198821,481.4108566628927,477.0788689580302,405.2598357528113,394.7503079476662,393.79988572605714,405.1095375428834,410.9303117147534,411.94332213046795,402.1780373086968,388.9741159943361,388.11182448891316,397.90142579170515,405.90533435082386,406.664253766885,518.9374733434325,513.110220385962,508.9949294284267,511.7847978801772,508.11561758829015,511.33758137357313,516.4602213219289,529.8491185761951,536.4202418967175,537.7872055584131,536.6560504605663,530.800670678781,519.7174998977403,519.2052551349212,520.326048983811,518.2759640915793,517.5695961609472,522.3607242227216,524.0320345475151,522.4884007730939,-3.104932481768768,-0.8094726577644816,6.543250120173354,0.262428,0.5159104,0.30614647,0.61326844,0.16662632,0.0,0.15784775,0.46413577,0.49663094,0.26319197,0.5637526,0.15546075,0.44276407,1.0,0.5712462,0.55764735,0.2759957,0.3210645,0.30421633,0.045625627,0.005065143,7.8048055e-05,0.0004269539,0.023394335,0.0019317872,0.061551027,0.9075527,testfilmpje.mp4,0
1,561.1929468829517,263.98258641581634,239.73511052798983,334.59977391581623,0.9996534585952759,554.6894089526317,555.1169679906235,557.6505578865228,562.8331638402971,573.2582487316156,591.2567545139086,614.6738341331479,641.1676683415599,673.6429135465286,706.5902620449268,735.9791318195215,761.987305006791,783.1433194166241,796.3447888157519,803.6960687912263,808.9062568830218,811.7543370003561,570.5668722535257,586.7456449840843,608.1561689355988,630.5594823287953,651.8322750835091,700.8385546151628,722.6922954040621,746.0706044692064,769.3591190164713,787.2105420007213,675.5103140372252,675.006069475802,674.0352500147737,673.2494761860065,649.2167105947615,660.885187498483,673.4075379912663,686.5899212688566,698.8392145783391,594.9084620608464,610.2937188180392,628.3770950185171,643.8105876101412,627.8461657856026,610.1588714803548,711.16659944215,726.4073042569144,744.4013167234473,759.7893257113319,745.4681292045219,727.9813648207326,626.2424888262949,644.6891953767692,661.9176808594513,673.0948965508832,685.7572159236819,704.5343217856124,724.2387618636386,706.3617311677332,688.2521728770207,674.21865627484,661.0084036699388,644.2781437398189,633.4864916358861,661.015774861705,673.0621809043104,686.3666794610797,718.2435897136222,687.876050637417,674.5167348249967,662.0288470469646,398.0014676219018,431.794337287523,465.06789692023773,498.7466806405681,530.4816954516109,558.8428583533971,583.000910272227,603.4493142049439,610.5723026276327,605.6263047498219,587.3066914262129,563.1777652878358,534.3273993636687,500.7667222386834,465.0748612605103,429.6009889193587,394.0675487330573,385.16342430253343,372.6726048005033,368.2979341156764,369.95583001961506,375.55561431518424,373.67939472005304,365.0287986011377,361.26301707512954,363.86830258055375,375.7335520125279,400.56135328712946,420.7527228056606,440.1639665514532,460.30684894492475,484.29531558825005,487.5935649170212,489.9052233062774,486.3698992189472,482.0976234820807,408.39314880897444,398.10425745513527,397.2487325276582,408.4524653634959,413.92883006186247,414.7369687565567,406.24348911148957,393.5673607203496,392.84022137154096,402.3263707960863,409.8371485232683,410.4601458559382,525.6387985287639,519.309026923931,514.7725849055205,517.5211060691291,513.721496038051,516.8997959735356,522.0414894197633,536.5642210105451,543.8361410123287,545.4107041574038,544.1780637940299,537.924756337551,526.4803828094754,526.0119052808268,527.0823076280213,524.8672166373908,523.3569838931846,528.938507736424,530.7324356338664,529.2236149036672,-3.1155459245205845,-0.48185012169643915,7.024280004584132,0.348877,0.50472707,0.31212687,0.6098542,0.16947934,1.0,0.16469887,0.007416039,0.49352452,0.3708472,0.5745772,0.33113894,0.48321202,1.0,0.45335397,0.55630517,0.017962651,0.30582836,0.31844038,0.016772604,0.004437138,8.414777e-05,0.00031534192,0.027309535,0.002040484,0.036159016,0.92965436,testfilmpje.mp4,1
2,560.9445570928752,264.4352382015306,239.31551168893134,334.2569641262755,0.999657154083252,554.8062943412868,555.331706770056,557.9108634169327,562.8747754269771,573.1103003690217,590.9724162904638,614.0733853149743,639.9701585906845,672.0083030152359,704.7731167486503,733.9177332943732,760.0729511975259,781.6827234111973,795.3662547159566,803.0099996287666,808.6284806345185,812.0941011581276,570.8028154069543,586.9238130639983,608.1018918997403,630.2624787083842,651.4100988526031,700.9130394342754,723.0533762337201,746.4789072415655,769.6416184724009,787.463730464808,675.1722772979158,674.5735512289937,673.5521211604878,672.7083030380754,649.1293668542831,660.5822891173768,672.9370540274716,686.0717192328307,698.2771672214922,594.9021612870188,610.0633455652958,628.067325113758,643.5892201521222,627.7399539496903,610.1075034956275,710.9885785450814,725.9756414337502,743.8530046318945,759.3490432535538,745.1957691143823,727.7897505813659,625.9500874341029,644.438202385499,661.4853152064738,672.583049439262,685.1307034570541,703.8808970399051,723.5855426502093,705.6111611081091,687.3748443820807,673.3353719475001,660.1386298249204,643.6078922385267,633.1080592513815,660.5818946366782,672.5163582932628,685.7361715597356,717.6554218924949,687.0163211967772,673.7145635306229,661.2886606011982,395.5025786001864,429.1415257000091,462.4178613600146,496.10419395952204,527.9754371866474,556.5621384848213,581.0741171526925,602.0944395708412,609.6892449690931,604.8098295293114,586.2406189094337,562.2272399367814,533.6975829384298,500.43262744888324,464.8792535643727,429.44794157120424,393.9436386948182,384.5873215754423,372.2054092209016,367.9519031563698,369.57329055173614,375.1803077093048,373.7178721275881,365.30412479886246,361.8390780653605,364.7944557361591,376.95158581621166,400.3998413030934,420.81709836463455,440.4728283683016,460.82879747401944,483.59867765272617,487.11486342953054,489.66830113024895,486.2959454069778,482.21828210237584,406.84575155132114,397.04031217951,396.3651763946483,407.53861505970264,412.6983508747633,413.3128083557906,406.65665184912336,394.32322475863947,393.62135991795157,403.00789664963906,410.3182097403742,410.92223141382715,523.1438375891307,517.6713383498142,513.6853141069132,516.5957448859826,513.0797742804683,516.3493259428694,521.2563072157169,536.2472431876091,543.4983244037384,544.8611237241353,543.3311363112584,536.4217710118766,524.2904375787261,524.5452003863144,525.9080475225535,523.9211319209917,522.7079961868845,528.4495790785478,530.0075865749918,528.2162377682943,-3.274160285031788,-0.3962571649794576,7.447460032314311,0.27541348,0.45899615,0.4413684,0.6104502,0.20477197,0.0,0.16948253,0.86477304,0.4813505,0.41598183,0.48799825,0.32155004,0.48317528,1.0,0.57807696,0.5736851,0.40606922,0.24602108,0.09266721,0.028248718,0.008270961,0.0001253375,0.0006578322,0.032860752,0.0024851556,0.050527945,0.9050721,testfilmpje.mp4,2
3,561.1448890744275,264.3937263233418,239.5474017970737,333.64738177614794,0.9996713399887085,554.0184848499692,554.5616427484717,557.2089595396623,562.3945212456314,572.7394475998445,590.63060616667,613.9121717997427,640.1770638553114,672.4493093543226,705.2626902506823,734.5801033257617,760.6015196523961,781.7361197680542,794.9271228720327,802.421999067133,807.9217942120376,811.0417438688532,569.8534876046019,586.0930562169841,607.457338484382,629.8093530411913,651.0814235745436,700.2313755796524,722.1934948696814,745.5143531063013,768.7185625447806,786.4923742820937,674.825229161705,674.2490967384824,673.2262481015949,672.4109593914316,648.6898845694561,660.2158621066031,672.6128038134187,685.6914417647695,697.8330591075699,594.7912669041966,610.0713645486072,628.0026211397936,643.2821460405146,627.4984993033938,609.9596795291109,710.4526549237661,725.5733508400301,743.3983754089328,758.6837590003132,744.4823167060576,727.1467970773067,626.2719567596876,644.4789894374766,661.3201596690336,672.3393544980557,684.8592690479194,703.3603459495812,722.8847726388591,705.1694523508592,687.3102302108159,673.465833946303,660.482879987617,644.1126243906158,633.4998628024149,660.3899165274785,672.2665325243391,685.4244238837556,716.9106979902214,687.0640458815158,673.8900580379861,661.6004819086734,396.8145570016603,430.53020012390004,463.7627697403373,497.39828840681656,529.206158095063,557.6525950683133,581.8412554521484,602.3255051081236,609.5717389489221,604.6496274080664,586.2563695059954,562.1122399440366,533.3386470023512,499.94850127827834,464.4246705310962,429.0150544213734,393.44306547561365,384.3026012026518,371.8031622396957,367.5138728151851,369.2114493150494,374.87595599939067,372.9170771232496,364.4096736098369,360.7714505746211,363.4389088522336,375.3387090363681,399.6258336061949,419.86998433457336,439.32668408254125,459.51064899485783,483.1234633273151,486.45742820952455,488.8463660036879,485.33384827620665,481.1203400011428,407.2757801552882,397.2579560747891,396.40598790416306,407.38111726555684,412.7709217577138,413.5294491817934,405.69059267237236,393.42447517001796,392.7239977053241,401.97273439996434,409.4003132115221,409.97092104457073,524.3142110551994,518.0827119823508,513.6438529297005,516.3797540782352,512.6682556472152,515.8448114720321,520.978432484639,535.3468772930902,542.4411431415483,543.9478886032924,542.6689519441364,536.4665434778618,525.2673997408243,524.7824290215497,525.8554881885698,523.7188439897303,522.2901109913909,527.6976466736089,529.4379761034792,527.8737653581994,-3.257803606258415,-0.3283516543579312,7.377691728692905,0.29932943,0.48371798,0.35737038,0.46180946,0.19332321,0.0,0.21965165,0.35132954,0.49899992,0.46988463,0.6539352,0.24383807,0.5072349,1.0,0.5162588,0.5594647,0.11779376,0.2871489,0.323939,0.029536966,0.0032962097,8.129879e-05,0.00029931738,0.025685847,0.0019987414,0.030908238,0.9377303,testfilmpje.mp4,3
4,560.6816555343511,263.73824593431124,240.18959724872775,335.1246407047193,0.9996455907821655,554.5465714079804,555.1784141462142,557.8531585421957,563.0669412799473,573.406147408574,591.4043860688784,614.851043630171,641.2943564558637,673.779267339494,706.8040661171524,736.3294272688242,762.5089624254233,783.6975397987802,796.8293746958365,804.2516077733835,809.7448085936127,812.8230337074314,570.6004070598824,586.7410979422775,608.1943398740693,630.6935119790544,652.0627630932256,701.1420926522699,723.2603937251257,746.8049327087224,770.1987484442604,788.0566728212754,675.8562303419446,675.2840428969052,674.2641680943608,673.4470314012439,649.7271040579072,661.268003296543,673.6776465999671,686.8037287012961,698.9986009642297,595.7360854467483,611.117311413194,629.2614253926574,644.536392428021,628.6769293617596,610.943493087288,711.7303049484611,726.9909379344705,745.0180424458362,760.3156371443944,746.1170661295972,728.5913417358591,627.1502332556286,645.4225986248404,662.4286178495609,673.515453715427,686.1455129901494,704.8789169969502,724.5646723664449,706.7358235778356,688.6474278219906,674.6760323134714,661.5687067232121,645.0540601485519,634.4402838663469,661.48633387939,673.4561040395057,686.7305483456469,718.5608390154599,688.3544427295891,675.0552134618556,662.6665438928544,397.7785504888446,431.56531904559205,464.8051405485541,498.46213562168373,530.3365310587404,558.8087470725776,583.0002358756882,603.4801407253722,610.7163667410658,605.8322671384605,587.4626315814907,563.2608596560174,534.3296184830957,500.71284504009384,464.977724420377,429.3727608039933,393.66055548725745,385.74492429615447,372.81906345612225,368.2531653671904,369.956664062011,375.7277728558393,373.62276497421743,364.95356548278556,361.2711290277114,364.07873304251893,376.23466606937245,400.45724393939327,420.69859952624654,440.16385502950527,460.3452377209001,484.185758044673,487.4962283160045,489.87805353703556,486.3449261010704,482.1627634571404,408.07936269848636,397.72435435909574,396.87338403610687,408.24899826249896,413.6712599204141,414.4181765506832,406.4920465073776,393.80996038629524,393.0587890841862,402.5998607230832,410.19854882457815,410.8021848862608,525.6531800570402,519.2821026088054,514.7400546521601,517.5148917013036,513.7906036573123,517.1151922481581,522.4326691288965,536.8381490300235,543.9081432191765,545.3964394138269,544.1076453810074,537.8652627671916,526.6206085385362,526.0651521410708,527.1578237795493,525.0415140513212,523.7327050833668,529.0038719584993,530.7177496556113,529.1381278287881,-3.3110833970239386,-0.23432525667406567,7.443319767070672,0.29903007,0.4646902,0.31817338,0.6027402,0.14876767,1.0,0.15915619,0.28533462,0.4948183,0.4266374,0.5396447,0.15253538,0.4624866,1.0,0.50141,0.55764735,0.56736755,0.27293527,0.3211859,0.016772604,0.0046958853,6.964766e-05,0.0003307221,0.020478886,0.0019800728,0.03286492,0.9395798,testfilmpje.mp4,4
5,560.5124840966921,263.55399585459185,240.70670324427476,336.0663180803571,0.9996034502983093,551.5212294116773,552.7629501257262,556.1621539701679,561.6775508107237,572.2341419323753,590.3872944825019,614.1638856901241,640.7740822211151,672.8729641027961,705.3719955204015,733.8572004252876,759.307042625308,779.6715459762787,792.1339433088475,798.780795592913,803.6880658553026,806.5112029187512,569.2196075793373,585.2005661493093,606.5656116014441,629.0646544453929,650.3897979194155,698.5250564497057,720.3231224950349,743.4273052781255,766.158428603203,783.492136343188,673.6906301500579,673.177913768652,672.2662376994645,671.5498649870008,648.5203421701852,659.5392133325357,671.4262169295254,684.0098706046165,695.6368022424584,594.3141659314734,608.7344042985246,626.7963111203896,641.7721364579812,626.525698789313,608.8247606453461,708.392815636859,722.8899734797892,740.7707709919636,755.4380651006036,742.2483941235989,724.8918509142122,626.6574955037644,644.3493715719791,660.396480891207,670.8115582052435,682.7045951736225,700.310117111495,718.8779497672859,701.9608331011943,685.002540478171,671.9360969052582,659.689915411918,643.9528396551548,633.7104105084622,659.7415596287699,670.9279349685148,683.3707178347345,712.9764952791603,684.5395333080519,671.9832942149109,660.4432094728036,394.10256450463265,427.3041832223838,460.0320861367335,492.94093009942026,524.3249896768234,552.0714551279007,575.1865268242952,594.5998006693413,600.9049381818144,595.888394189004,577.9796172174787,554.4253112764787,525.9208524652864,492.91295064006925,457.98059564036845,423.2249631364995,388.35129529316066,385.83962201368155,372.3901314695594,367.0949827313818,368.5011548811264,374.1047867735831,370.9786831245162,361.93634202555313,358.04976917074134,360.9893430908017,373.1974614622499,396.4706507562483,416.07502142418116,435.0442655760475,454.771394920016,477.6008790248737,480.86356281829825,483.29301638926364,479.9250250258935,476.0269623243724,404.6924894022766,394.0807746593563,392.9609953519117,404.26214897206984,410.0556517832666,411.08079609804383,402.1996734130559,389.2193676344594,388.3336518883809,398.23983475746934,406.1360035538269,406.78308864465885,519.412887909855,513.2932705582676,508.9119852868729,511.728512082863,508.1256519073637,511.77920682493465,517.2121495929487,529.7769700151175,535.5092497309818,536.7711618074491,535.6974620735231,530.4131661926453,520.1402336662995,519.1104501456334,520.1891736828275,518.3342364846695,518.2044348691237,521.5792047613057,523.1521359310224,521.6850651899841,-3.2015413138825544,-0.5826033711822737,6.531645699770493,0.29134664,0.47759452,0.42596397,0.6013164,0.13921438,1.0,0.1442838,0.7683846,0.49487984,0.193586,0.44418982,0.089637786,0.52748847,0.0,0.53837466,0.55764735,0.178645,0.20982237,0.21611117,0.024873821,0.00552656,6.8566005e-05,0.00023379647,0.019124882,0.002270798,0.014033857,0.95874155,testfilmpje.mp4,5
6,560.7043674459287,264.00906002869897,241.05419052162858,335.9690393016581,0.9995614886283875,551.2772961421501,552.5732484358284,555.9198570914092,561.2441778955882,571.7764163515012,589.9365276746379,613.7274552618757,640.435863016755,672.6611289742813,705.2832325989172,733.6928589697701,758.9851685471073,779.1519906778458,791.5781954140102,798.306677305315,803.5246336475802,806.6744635429247,568.8581071358084,584.9086396094712,606.5243253385526,629.1395426374892,650.4692308193316,698.9942903569463,720.9808128838257,744.2606984311223,767.0978723191505,784.1875564488769,673.4741007022686,672.9009401344435,671.9713489806064,671.2235716689245,648.1169091035439,659.1263908723305,671.0048471657133,683.6207116625452,695.2460800117594,594.0666047612585,608.5151100129414,626.7225071129618,641.574758765513,626.2479552024566,608.377752370626,707.2717464025574,721.9106924022022,740.073645317572,754.730397827531,741.3671044595025,723.8147394261471,626.2821264003875,643.9680883218557,660.154879048027,670.6462298152767,682.7196685981186,700.4596387947973,718.9107159458849,702.1039414597869,684.9728049275074,671.7050563435666,659.3478668538561,643.4914337532501,633.3915618787511,659.5056503177196,670.7715242076898,683.3748328318642,712.9953739952155,684.5160114665599,671.7590526035882,660.1418665981821,392.70477953905777,426.1325857022478,459.1108075179779,492.2480023012968,523.8096933926755,551.6992302861606,574.9677975252819,594.5010106716024,600.7415317013155,595.6029957593042,577.4308151786705,553.6017874266514,524.7449797461677,491.5952411053804,456.66316930669586,421.8503362450948,386.89520729843935,384.24727588409587,370.4987635368618,365.1563178198562,366.93383288690603,372.8771101523395,370.15733992209294,360.9420503028906,357.0044445311976,360.2090516738581,372.88216854697,395.0747755980792,414.96606541132473,434.23278166239004,454.19041935009903,476.79980928229986,480.13719628021136,482.6233071271384,479.17826403448,475.1486098987406,402.41675304717177,391.41462457414247,390.4127380272147,402.2598587073051,408.03246021092167,409.01657629310273,400.21839396509904,386.76687306317245,386.05653508086897,396.4005796291903,404.3527364438664,404.94510929913577,518.9523609374342,512.6584444071568,508.3022654911894,511.21767904629814,507.49205725670555,511.2232540940619,516.8260569446691,529.6709669921885,535.5553818459965,536.8011406870179,535.6908651188053,530.1799304044073,519.6380677819885,518.6215347194919,519.7409898922119,517.812552034301,517.7809520868474,521.236568545954,522.8336034568438,521.3117595996289,-3.234116561280718,-0.5011905129977465,5.3744869303249025,0.2848545,0.46393257,0.35538396,0.62966454,0.14366844,1.0,0.19514859,0.6133934,0.47434795,0.25590315,0.4530953,0.41348132,0.52065694,0.0,0.5033544,0.56359625,0.27730432,0.35838637,0.58439875,0.018074151,0.009630291,4.817591e-05,0.00017380324,0.017192254,0.0020445213,0.008226124,0.9626848,testfilmpje.mp4,6
7,560.1740915235368,263.66881927614793,241.01473043893134,336.6394952965561,0.9995505213737488,552.1585069689888,553.4217586532573,556.6691010976384,561.7305472904429,572.0269120264492,590.1073323072527,613.950359839027,640.8373461555648,673.1572953045699,705.9615921618697,734.4391811199572,759.6224207079837,779.5136520251672,791.7445061552207,798.5688113841535,804.1136662302642,807.6281156426571,569.8664173788918,585.5906343211773,607.0185207747313,629.3582416613975,650.3796617748794,700.9910055587968,723.0315170399238,746.1902744641604,768.7569697572417,785.5206182390089,673.8245179523142,673.1354321781683,672.1164010063557,671.2900566947071,648.1035128741406,659.1834949198134,671.1515701622195,683.8597772448192,695.5409952665362,594.1832884461714,608.71947441661,627.0690061866509,641.793436564807,626.2561818590051,608.1922672755014,707.5006310532112,722.4283066405701,740.7992079311853,755.2930882704699,741.815169115535,724.0691968806768,627.0056199749192,644.654568566787,660.8263957007291,671.3630260829892,683.4802786377533,701.2558913005855,719.714726663468,702.8713788993335,685.5183169030454,672.1793297297595,659.7513222087628,643.9675053726165,634.1574386898815,660.166480827063,671.4720046183347,684.1229052682958,713.6578701435644,685.0521122186974,672.2329160599432,660.5859494669776,392.4900648799142,426.16070016004437,459.38966657719567,492.79096162392443,524.6177744730745,552.6135800653364,575.8808585365908,595.1941617041142,601.3891315423433,596.1885487020588,578.1077190895937,554.4144708285036,525.6190719526022,492.61059083111115,457.8444877109285,423.01129031572594,388.0062458576068,381.1681919005074,367.1483176254762,361.69048187497714,363.5509905907548,369.7386646940723,368.33374211777146,359.3615893857113,355.8152722995381,359.3130233879667,372.1719126787397,393.7424512163977,414.0253286596665,433.6747292389486,453.95484971308423,476.29318609560056,479.7970651197882,482.414476234723,478.8964150723738,474.8143189585295,399.60557346864994,388.21439100758334,387.6173807789878,400.4081765439196,405.82054036246996,406.5172228506905,399.0637026227193,385.3712214420523,384.9453600047152,395.83387114604255,403.63457685813796,404.0478332881279,519.0226681459066,512.6668309646276,508.37465139499693,511.38562286349355,507.60537273265646,511.4199344880776,516.9524853060042,530.3416998820145,536.4882241141642,537.7623772637171,536.5655637198932,530.7715703618029,519.792019043246,518.8365907881623,519.9885463975301,518.0289071846208,518.052190932672,521.9351592322638,523.5459033994027,521.976044241768,-3.6174414586313346,-0.2702297964017835,4.614141453028291,0.30853498,0.49980423,0.58614,0.6334932,0.15619501,0.0,0.17368986,0.8342665,0.50199306,0.4873959,0.4068154,0.30949086,0.48951745,1.0,0.50473464,0.56359625,0.3130307,0.306707,0.35502166,0.043778747,0.014900193,5.6988665e-05,0.00020894768,0.01343821,0.0018910518,0.011945873,0.95755875,testfilmpje.mp4,7
8,559.3158595737913,263.242453125,241.61224753498732,337.0501339285714,0.9995428323745728,552.2486287664617,554.1085381458907,557.7532252445934,562.7264095720045,572.7924006550926,590.6496823102118,614.3426616799427,641.0215128078572,673.2950509045182,706.1566843914123,734.7890671680367,759.9088851188549,779.6504430154286,791.691518034786,798.3068890380231,803.9931009057844,807.7992975688097,569.6452363019242,585.1565490454298,606.1350852986228,628.2052666136345,649.2266663649044,701.1073498533432,723.2268434773066,746.2965663702211,768.6920932073338,785.4930656680731,673.1589749681322,672.6104403204997,671.7440938083306,671.0464771178935,648.1728462909838,659.315354851502,671.2398209056189,683.7839152270694,695.2620271378277,593.1487592512327,607.6283406047954,626.1770131357408,640.8678864628097,625.2429360286072,606.9954169385928,706.7602689815972,721.5864106369614,740.2888300514753,754.8472074362327,741.3002446736991,723.3083034098158,626.9513767025152,644.7421391748062,661.076458805246,671.6356694086678,683.7488385174508,701.7735180436448,720.5444033381013,703.5481825810043,685.7960406508498,672.4006671323584,659.8791858374525,643.8453687399301,634.2149677102731,660.4340125958825,671.7412249915302,684.4079190427161,714.2957828389375,685.3837024781246,672.4777033011461,660.7564410857744,392.51617442961515,426.1007376963619,459.1280393265539,492.29153743165307,523.9847066572787,551.8865295656695,575.2013072718297,594.858584634502,601.2772849868335,596.3295885296933,578.6345577508009,555.2982759724898,526.7101067253777,493.6088306048322,458.70572056428773,423.7821912982815,388.751696148717,380.8186221413293,366.86525170130494,361.08915425841457,362.4710681327156,368.12579533878505,367.1585460306651,358.4710937432892,355.288249987897,358.89171291240893,371.5431226791287,392.72295826243504,413.0515146487004,432.8229902061926,453.1703264940339,475.97390033252327,479.3997738540077,481.8551435273045,478.3088520233151,474.21736478872594,398.20854581580096,386.2910107266429,385.81062855879856,399.2573755949512,404.74002200840414,405.33543408686353,397.86816914012815,383.47656885306213,383.09755958140056,394.6062038995347,402.5300205485076,402.96201855401216,518.5299769652954,512.5136100884441,508.40488584534825,511.45588456644225,507.71289830384296,511.544576810213,516.9288637905089,531.1955620620879,537.6147686762075,538.8834366100048,537.5582843252548,531.2519017668154,519.5224670397182,518.8963899615098,520.0721226955961,518.1292104905887,518.244879255365,523.0446749472064,524.6313234994699,522.9601292285589,-3.6224872884091983,-0.01585577542429234,3.742046067731637,0.3543757,0.52259827,0.30229226,0.61244357,0.158904,0.0,0.19849743,0.5113457,0.46833143,0.40710148,0.43464345,0.14741214,0.4591613,1.0,0.543101,0.5622579,0.38884935,0.21901545,0.2559883,0.052867457,0.022762943,5.100977e-05,0.00017906241,0.00999284,0.0021256069,0.008606668,0.9562819,testfilmpje.mp4,8
9,558.6973202926208,262.6805232780612,241.6649769402036,339.0296709183674,0.999524712562561,551.1652688029969,552.8273516317036,556.2991106031953,561.0574036224629,571.0117499998469,588.8524389070932,612.4235506895338,639.1210387814401,671.7597245922067,704.9129076254833,733.7016910096125,759.0323071502613,779.0778144089368,791.4066878058812,798.0845547580275,803.690797010303,807.4269823834001,568.3925536891136,584.1485855477463,605.469763171505,627.7845555236581,649.0186418161899,700.5639668998101,723.1687686563376,746.7090353397052,769.5645990219515,786.5557867415195,672.4566734856487,671.7871869150842,670.8046904869452,670.0340601205995,646.4523877716131,657.7096000947489,669.8042495829304,682.6299182194263,694.4362436290082,591.4463856428189,606.2292631129493,625.2425628954513,640.0479679575934,623.9553619921533,605.2161519540086,705.9630474528866,721.1616062817513,740.3431112762975,754.9326491435119,741.1498367133746,722.7654544363826,625.1241899779002,643.144905626906,659.7259044523151,670.3743140574261,682.6940090974529,700.8514422531993,719.4262542181004,702.4669785664414,684.5882910190636,670.9988666904259,658.2890854190795,642.1508665359064,632.4466031040728,658.8542757859387,670.3416987600572,683.2057176514146,713.1719011459153,684.2515653541828,671.1418162651394,659.2850523287713,387.6074256809792,421.36737449177593,454.7695977510589,488.3017365907536,520.3234840461217,548.4871206896041,572.2925291286829,592.4480069253271,598.9013011868166,594.0744554198451,576.0963700256902,552.369044305963,523.3588648883928,489.8557524508918,454.69718936597076,419.55055693257793,384.39366704878586,377.71303567738295,363.94009270897743,358.4384619011997,360.259292718178,366.12211672618605,365.926133950472,357.2899911958552,354.1162681442982,358.0060606558216,371.0952705947748,390.99308754220476,411.7134647142075,431.8742652303851,452.5247438189931,474.574236795039,478.3038263607872,480.9478721332149,477.35153242549046,473.12534161452476,394.32496447438615,382.4089473936902,382.2615723232371,396.48431540383274,402.0134449084256,402.3389189019463,395.42738577474665,380.59513674666607,380.3863503449216,392.32684708561305,400.6685670647618,400.96565726231944,516.9269100036204,511.0978652589841,507.17183218097904,510.3878459973028,506.60432600676023,510.53828860315906,516.026897541281,529.4799196039706,535.5062808353658,536.6720655350015,535.299022139,529.1234550156265,517.9286724940342,517.6561832029307,518.9759994035976,517.0870280768746,517.2307293796315,521.0964059705353,522.6416678363611,520.8682201354117,-3.1404463590990823,0.01259838806040253,3.339763725990371,0.30891386,0.53487855,0.49779356,0.5994449,0.13986097,0.0,0.14125113,0.84806937,0.4646009,0.46709383,0.37677413,0.26679793,0.5399408,1.0,0.5193732,0.5622579,0.049734585,0.19814342,0.31213382,0.020135546,0.0065338905,5.2489218e-06,1.9727666e-05,0.004779941,0.0011071992,0.0014771423,0.98607683,testfilmpje.mp4,9
